epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
31,48891.3,0.29099,0.33345,0.26937,0.86237,0,0.9995,1,0.995,0.988,0.9995,1,0.995,0.98896,0.17594,0.15437,0.17622,0.74037,0,0.00101,0.00101,0.00101
32,49551.3,0.2773,0.34574,0.24213,0.85121,0,0.99949,1,0.995,0.98947,0.99949,1,0.995,0.9894,0.17654,0.15012,0.17975,0.739,0,0.000977,0.000977,0.000977
33,50217.2,0.27447,0.34879,0.25122,0.84772,0,0.99849,1,0.995,0.9859,0.99849,1,0.995,0.99016,0.17906,0.15134,0.19167,0.73923,0,0.000944,0.000944,0.000944
34,50881.6,0.27085,0.33359,0.25274,0.85034,0,0.99946,1,0.995,0.98753,0.99946,1,0.995,0.98945,0.18322,0.1435,0.18676,0.74618,0,0.000911,0.000911,0.000911
35,51596.5,0.2644,0.33655,0.24044,0.85073,0,0.99899,1,0.995,0.98961,0.99899,1,0.995,0.98895,0.17277,0.15172,0.17047,0.74216,0,0.000878,0.000878,0.000878
36,52254.9,0.27166,0.32762,0.25653,0.85083,0,0.99916,1,0.995,0.98738,0.99916,1,0.995,0.98731,0.15702,0.15083,0.15518,0.73412,0,0.000845,0.000845,0.000845
37,52893.5,0.26707,0.31958,0.24531,0.85887,0,0.99936,1,0.995,0.988,0.99936,1,0.995,0.98722,0.17713,0.14482,0.17265,0.74489,0,0.000812,0.000812,0.000812
38,53548.9,0.25773,0.29972,0.23158,0.84429,0,0.99785,1,0.995,0.98589,0.99785,1,0.995,0.98713,0.16312,0.1432,0.22403,0.73951,0,0.000779,0.000779,0.000779
39,54206.5,0.25828,0.31175,0.23184,0.85198,0,0.99528,1,0.995,0.9888,0.99528,1,0.995,0.99021,0.17599,0.13603,0.16871,0.74411,0,0.000746,0.000746,0.000746
40,54868.9,0.27071,0.33276,0.23488,0.85031,0,0.99719,1,0.995,0.98768,0.99719,1,0.995,0.98886,0.15773,0.15469,0.15662,0.73893,0,0.000713,0.000713,0.000713
41,55526.4,0.26179,0.32196,0.23507,0.84455,0,0.99739,1,0.995,0.98389,0.99739,1,0.995,0.98598,0.15469,0.14425,0.15764,0.73193,0,0.00068,0.00068,0.00068
42,56185.4,0.26444,0.3533,0.23008,0.85539,0,0.99773,1,0.995,0.98837,0.99773,1,0.995,0.99059,0.15522,0.14264,0.16585,0.73585,0,0.000647,0.000647,0.000647
43,78498.5,0.25436,0.32535,0.2233,0.8457,0,0.99892,1,0.995,0.98639,0.99892,1,0.995,0.98608,0.15602,0.1419,0.15029,0.74361,0,0.000614,0.000614,0.000614
44,78687.6,0.25057,0.30041,0.2201,0.84355,0,0.99871,1,0.995,0.98777,0.99871,1,0.995,0.98635,0.1592,0.14002,0.14432,0.74238,0,0.000581,0.000581,0.000581
45,78911.5,0.24915,0.30838,0.21867,0.84846,0,0.99781,1,0.995,0.99173,0.99781,1,0.995,0.98825,0.16538,0.1432,0.1541,0.74233,0,0.000548,0.000548,0.000548
46,79126.3,0.24271,0.31075,0.2134,0.84526,0,0.99908,1,0.995,0.98963,0.99908,1,0.995,0.9894,0.16026,0.13967,0.14898,0.73793,0,0.000515,0.000515,0.000515
47,79338.4,0.24337,0.32718,0.20912,0.85086,0,0.9995,1,0.995,0.98422,0.9995,1,0.995,0.98961,0.15355,0.14283,0.13895,0.74062,0,0.000482,0.000482,0.000482
48,79591.3,0.23278,0.2929,0.2088,0.84541,0,0.99716,1,0.995,0.98768,0.99716,1,0.995,0.98953,0.14694,0.13546,0.14682,0.73688,0,0.000449,0.000449,0.000449
49,79776.9,0.23389,0.29659,0.2063,0.83685,0,0.99947,1,0.995,0.99055,0.99947,1,0.995,0.99062,0.14389,0.13217,0.13578,0.73165,0,0.000416,0.000416,0.000416
50,79962.8,0.2335,0.31061,0.20057,0.83949,0,0.99946,1,0.995,0.98896,0.99946,1,0.995,0.98749,0.1267,0.13203,0.12752,0.72767,0,0.000383,0.000383,0.000383
51,80141.7,0.18477,0.22277,0.16824,0.80003,0,0.99924,1,0.995,0.98646,0.99924,1,0.995,0.98969,0.15929,0.12532,0.1541,0.73534,0,0.00035,0.00035,0.00035
52,80314.6,0.18116,0.21033,0.15958,0.80201,0,0.99831,1,0.995,0.99037,0.99831,1,0.995,0.99049,0.15301,0.13395,0.14446,0.7354,0,0.000317,0.000317,0.000317
53,80488.2,0.17499,0.2067,0.15353,0.79273,0,0.99909,1,0.995,0.98973,0.99909,1,0.995,0.98962,0.14782,0.12422,0.13484,0.73348,0,0.000284,0.000284,0.000284
54,80661.4,0.17079,0.20681,0.14616,0.79669,0,0.99941,1,0.995,0.99076,0.99941,1,0.995,0.98958,0.13539,0.12558,0.13109,0.72763,0,0.000251,0.000251,0.000251
55,80834.9,0.16567,0.20329,0.14288,0.78876,0,0.99942,1,0.995,0.98969,0.99942,1,0.995,0.98967,0.13292,0.12199,0.11803,0.72773,0,0.000218,0.000218,0.000218
56,81008.3,0.16718,0.20585,0.14454,0.79846,0,0.99948,1,0.995,0.99283,0.99948,1,0.995,0.98959,0.132,0.12125,0.12524,0.72987,0,0.000185,0.000185,0.000185
57,81185.4,0.16634,0.2011,0.13831,0.79653,0,0.99949,1,0.995,0.98761,0.99949,1,0.995,0.98959,0.14218,0.12098,0.12448,0.73258,0,0.000152,0.000152,0.000152
58,81359.5,0.15539,0.19694,0.13114,0.78906,0,0.99952,1,0.995,0.98966,0.99952,1,0.995,0.99057,0.13283,0.12353,0.12008,0.73125,0,0.000119,0.000119,0.000119
59,81532.5,0.15675,0.20188,0.12588,0.80537,0,0.99952,1,0.995,0.9918,0.99952,1,0.995,0.98964,0.11886,0.12103,0.1038,0.72499,0,8.6e-05,8.6e-05,8.6e-05
60,81706.8,0.15391,0.20652,0.12328,0.79691,0,0.99952,1,0.995,0.99181,0.99952,1,0.995,0.9896,0.12037,0.12019,0.10827,0.72573,0,5.3e-05,5.3e-05,5.3e-05
